settings,best_score,first_guess,best_epoch
seed-2-lr-0.001-n_layers-0-n_epochs-2000,4.191792964935303,slice,229
seed-1-lr-0.001-n_layers-0-n_epochs-2000,4.278185844421387,sonar,186
seed-3-lr-0.001-n_layers-0-n_epochs-2000,4.302375793457031,print,393
seed-3-lr-0.001-n_layers-1-n_epochs-2000,3.9235422611236572,slane,1913
seed-1-lr-0.001-n_layers-1-n_epochs-2000,3.8907127380371094,slane,1747
seed-2-lr-0.001-n_layers-1-n_epochs-2000,3.8937366008758545,slate,1895
seed-1-lr-0.001-n_layers-2-n_epochs-2000,3.7317495346069336,slant,1807
seed-3-lr-0.001-n_layers-2-n_epochs-2000,3.7615551948547363,slant,1673
seed-2-lr-0.001-n_layers-2-n_epochs-2000,3.839308977127075,salet,1568
seed-1-lr-0.001-n_layers-3-n_epochs-2000,3.7792656421661377,saint,1998
seed-2-lr-0.001-n_layers-3-n_epochs-2000,3.785745143890381,slant,1920
seed-3-lr-0.001-n_layers-3-n_epochs-2000,3.7352051734924316,crate,1709
seed-2-lr-0.001-n_layers-4-n_epochs-2000,3.6920087337493896,crane,1982
seed-3-lr-0.001-n_layers-4-n_epochs-2000,3.742548704147339,paint,1989
seed-1-lr-0.001-n_layers-4-n_epochs-2000,3.749891996383667,chant,1976
seed-3-lr-0.001-n_layers-5-n_epochs-2000,3.7196545600891113,crane,1806
seed-2-lr-0.001-n_layers-5-n_epochs-2000,3.5572354793548584,crate,1363
seed-1-lr-0.001-n_layers-5-n_epochs-2000,4.149460315704346,alist,591
seed-4-lr-0.001-n_layers-1-n_epochs-2000,3.9801297187805176,slant,1522
seed-4-lr-0.001-n_layers-0-n_epochs-2000,4.3144707679748535,shirt,523
seed-4-lr-0.001-n_layers-2-n_epochs-2000,3.82850980758667,saint,1756
seed-4-lr-0.001-n_layers-3-n_epochs-2000,3.825054168701172,pried,1943
seed-4-lr-0.001-n_layers-4-n_epochs-2000,3.700216054916382,crate,1995
seed-4-lr-0.001-n_layers-5-n_epochs-2000,3.7801296710968018,plait,1878
seed-5-lr-0.001-n_layers-0-n_epochs-2000,4.237149238586426,trace,208
seed-5-lr-0.001-n_layers-1-n_epochs-2000,4.012094974517822,slate,1694
seed-5-lr-0.001-n_layers-2-n_epochs-2000,3.8885529041290283,slant,1922
seed-5-lr-0.001-n_layers-3-n_epochs-2000,3.6941685676574707,slant,1824
seed-5-lr-0.001-n_layers-4-n_epochs-2000,3.745140552520752,slane,1614
seed-5-lr-0.001-n_layers-5-n_epochs-2000,3.620734453201294,slart,1387
seed-6-lr-0.001-n_layers-0-n_epochs-2000,4.2673869132995605,citer,234
seed-6-lr-0.001-n_layers-1-n_epochs-2000,4.033261299133301,maire,1399
seed-6-lr-0.001-n_layers-2-n_epochs-2000,3.874730110168457,plate,1823
seed-6-lr-0.001-n_layers-3-n_epochs-2000,3.7326135635375977,crate,1856
seed-6-lr-0.001-n_layers-4-n_epochs-2000,3.7365012168884277,plane,1863
seed-6-lr-0.001-n_layers-5-n_epochs-2000,3.7792656421661377,drant,1932
